# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = example_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 0.01
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 20
# random
#   seed = 974718116
# output
#   file = samples.csv (Default)
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,mu
-0.694799,0.999983,0.01,6,1.17881
-0.0185724,0.999987,0.01,6,-0.19273
-0.00697677,0.999997,0.01,6,0.118125
-0.00104311,1,0.01,6,-0.0456752
-0.00664632,0.999995,0.01,6,0.115294
-0.0153218,0.999996,0.01,6,-0.175053
-0.10152,0.999995,0.01,6,-0.4506
-0.207644,0.999991,0.01,7,0.644428
-1.27141,0.999967,0.01,6,1.59462
-0.202946,0.99999,0.01,6,0.637097
-0.00563047,1,0.01,8,-0.106118
-0.000489657,1,0.01,6,0.031294
-0.0258591,0.999993,0.01,7,-0.227417
-1.1077,0.999973,0.01,7,-1.48843
-1.61954,0.999985,0.01,5,-1.79974
-1.86003,0.999991,0.01,4,-1.92875
-1.04294,0.999997,0.01,5,-1.44426
-0.258437,0.999994,0.01,6,-0.71894
-0.169099,0.99999,0.01,6,0.581547
-0.00226292,0.99999,0.01,6,0.0672743
-0.00792186,0.999999,0.01,6,-0.125872
-0.0110022,1,0.01,5,-0.148339
-0.500045,0.999983,0.01,7,1.00004
-1.16608,0.999977,0.01,6,1.52714
-0.216511,0.999961,0.01,6,-0.658045
-0.0323543,0.999987,0.01,6,-0.254379
-0.0122314,0.999998,0.01,6,0.156406
-0.00613209,1,0.01,5,0.110744
-0.104104,0.999995,0.01,7,-0.456298
-0.00400016,0.999996,0.01,6,0.0894446
-0.158043,0.999995,0.01,6,0.562215
-0.152176,0.999997,0.01,5,0.551682
-0.000258956,0.999997,0.01,7,0.0227577
-0.0624214,0.999994,0.01,6,-0.353331
-0.00605352,1,0.01,6,-0.110032
-0.0151144,0.999998,0.01,7,0.173865
-0.428682,0.999988,0.01,6,0.92594
-0.430556,1,0.01,4,0.927961
-0.829316,0.99998,0.01,5,1.28788
-0.46128,0.999991,0.01,5,0.9605
-0.460435,1,0.01,2,0.95962
-0.508809,0.999997,0.01,4,1.00877
-0.417414,0.999999,0.01,5,0.913689
-0.401309,1,0.01,3,0.895889
-0.0314394,0.999992,0.01,6,0.250757
-0.0498394,0.999999,0.01,5,0.315719
-0.00152047,0.999994,0.01,6,-0.0551447
-0.0250181,0.999999,0.01,6,-0.223688
-0.064517,0.999998,0.01,6,-0.359213
-0.137033,0.999997,0.01,5,-0.523513
-0.283395,0.999996,0.01,5,-0.752854
-1.93425,0.999955,0.01,6,-1.96685
-1.95577,0.999999,0.01,2,-1.97776
-1.75927,0.999997,0.01,4,-1.87578
-1.791,0.999999,0.01,3,-1.89262
-2.32831,0.999973,0.01,5,-2.15792
-0.466773,0.999996,0.01,6,-0.966202
-3.89679,0.999891,0.01,6,-2.7917
-3.89025,1,0.01,1,-2.78936
-2.2338,0.999992,0.01,5,-2.11367
-0.00101083,0.999997,0.01,7,-0.0449628
-0.000175122,0.999999,0.01,6,-0.0187148
-0.133178,0.999997,0.01,7,-0.516098
-0.00105164,0.999992,0.01,6,-0.0458615
-2.95646,0.999908,0.01,6,-2.43165
-2.90061,1,0.01,3,-2.40857
-7.88674e-09,0.99998,0.01,6,0.000125592
-0.208175,0.999991,0.01,6,-0.645252
-0.225354,0.999968,0.01,7,0.671348
-0.222834,0.999984,0.01,6,-0.667583
-1.0344,0.999964,0.01,6,-1.43833
-1.01855,0.999989,0.01,7,1.42727
-0.982237,1,0.01,3,1.4016
-0.991921,0.999998,0.01,4,1.40849
-0.457084,0.999993,0.01,5,0.956121
-0.00738411,0.999994,0.01,7,0.121525
-2.66555e-05,1,0.01,7,-0.00730144
-0.0677739,0.999994,0.01,6,0.368168
-1.53496,0.999957,0.01,6,1.75212
-1.67994,0.999992,0.01,4,1.833
-1.46621,0.999995,0.01,5,1.71243
-1.38938,1,0.01,3,1.66696
-0.139567,0.999976,0.01,6,0.528331
-1.68545,0.999959,0.01,7,-1.836
-2.24245,0.99998,0.01,5,-2.11776
-2.26023,1,0.01,4,-2.12614
-2.07152,0.999998,0.01,4,-2.03544
-0.771401,0.999981,0.01,5,-1.2421
-1.08141,0.999992,0.01,7,1.47065
-1.15663,0.999995,0.01,5,1.52094
-0.195841,0.999994,0.01,6,0.625845
-0.19582,1,0.01,3,0.625812
-0.0555281,0.999997,0.01,6,-0.333251
-1.31619,0.99993,0.01,6,-1.62246
-1.43484,0.999997,0.01,4,-1.69401
-0.72044,0.999984,0.01,5,-1.20037
-0.644247,1,0.01,4,-1.13512
-0.37446,0.999992,0.01,5,-0.865402
-0.309146,0.999999,0.01,5,-0.786315
-0.211975,0.999998,0.01,5,-0.651115
-0.493628,0.999982,0.01,6,-0.993607
-0.0722583,0.999983,0.01,7,0.380153
-0.632887,0.999985,0.01,6,1.12507
-0.0267531,0.999995,0.01,6,0.231314
-0.401127,0.999986,0.01,6,0.895687
-0.088594,1,0.01,6,0.420937
-0.0366256,0.999984,0.01,7,-0.27065
-0.017642,1,0.01,5,-0.18784
-0.017691,0.999987,0.01,6,0.188101
-0.34046,0.999984,0.01,6,0.825178
-0.316955,1,0.01,4,0.796184
-0.0401189,0.999994,0.01,6,-0.283263
-0.0941554,0.999992,0.01,6,-0.433948
-0.560459,0.999989,0.01,7,1.05873
-0.00237888,0.999967,0.01,6,-0.0689764
-0.0442418,0.999977,0.01,6,0.297462
-0.0367542,1,0.01,5,0.271124
-0.239774,0.999992,0.01,7,-0.692494
-0.794456,0.999978,0.01,7,1.26052
-0.877247,0.999997,0.01,4,1.32457
-0.614229,0.999987,0.01,5,1.10836
-0.625858,1,0.01,3,1.1188
-1.53082,0.999977,0.01,7,-1.74975
-1.77127,0.999992,0.01,4,-1.88216
-1.00218,0.999995,0.01,5,-1.41575
-1.11161,0.999997,0.01,4,-1.49105
-1.54248,0.999987,0.01,5,-1.7564
-1.5706,0.999998,0.01,3,-1.77234
-0.872754,0.999979,0.01,5,-1.32118
-0.219291,0.999992,0.01,6,0.662255
-0.365746,0.999981,0.01,6,0.855273
-0.1073,1,0.01,6,0.46325
-0.699845,0.999966,0.01,6,1.18309
-1.08991,0.999988,0.01,6,1.47642
-1.08638,1,0.01,1,1.47403
-0.951443,0.999999,0.01,4,1.37945
-1.82988,0.999965,0.01,5,1.91305
-1.93644,0.999996,0.01,3,1.96796
-2.07695,0.999987,0.01,7,-2.03811
-2.28954,0.999993,0.01,4,-2.13988
-2.29925,0.999981,0.01,7,2.14441
-2.25407,1,0.01,3,2.12324
-0.0340875,0.999994,0.01,6,0.261104
-0.0148572,1,0.01,5,0.172379
-0.808537,0.999982,0.01,7,1.27164
-0.80853,1,0.01,1,1.27164
-0.0364234,0.999989,0.01,6,0.269901
-0.0364368,1,0.01,2,0.269951
-0.0373886,1,0.01,3,0.273454
-0.279696,0.999993,0.01,6,0.747925
-0.280472,1,0.01,1,0.748962
