# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-4.6511,0.922965,0.284724,3,7,0,6.47964,-0.245817,-1.6671,0.157273,-0.696252,1.77061,-0.193007,-2.17414,-3.59542,-3.72328
-2.04759,1,0.36362,3,7,0,4.55945,1.26547,0.148357,-0.786005,0.145635,-1.58885,1.5742,4.5677,3.45058,-2.05649
-0.225752,0.70229,0.534624,2,5,0,0.539867,0.590349,0.140597,-1.24365,-0.347271,0.641435,-0.310148,0.623432,0.17368,0.0830428
-0.382561,0.515514,0.451842,2,5,1,2.54195,-0.0464958,0.72778,-0.749288,1.35151,-1.18254,-1.04585,-0.256442,0.517833,0.213599
-1.25813,0.86947,0.271137,2,3,0,1.72984,-0.219728,0.363157,-0.926018,-0.103912,-0.888815,-0.377653,-3.94632,-3.36343,-2.02227
-0.347175,0.926425,0.312626,3,7,0,1.66748,0.149872,0.621446,-0.638218,-1.16864,-0.830254,-0.765228,0.304413,0.775987,0.272366
-0.347175,0.210904,0.399469,1,1,0,2.09266,0.149872,0.621446,-0.638218,-1.19783,-1.33582,0.521296,0.304413,0.775987,0.272366
-0.640302,0.556422,1.10953,2,7,0,1.45552,0.923579,-0.0277218,-0.53143,1.36029,-1.4307,0.190666,1.4089,0.457598,0.264097
-0.640302,0,7.12532,0,1,1,2.65891,0.923579,-0.0277218,-0.53143,0.0571424,-1.89652,-2.80628,1.4089,0.457598,0.264097
-1.52192,0.631435,0.948178,3,7,0,2.26541,-0.701451,0.463686,0.300987,-1.92264,-0.745724,0.157049,-1.23054,-0.0653988,1.31464
-0.588994,0.835496,0.438907,4,15,0,2.13503,-0.0575582,0.934073,-0.857683,2.2701,0.716449,-2.01513,0.766907,1.75854,0.0576137
-0.739002,0.90173,0.384687,2,3,0,1.98956,-0.364209,0.795054,-0.917097,1.6522,1.60584,1.07579,-2.22565,-1.06639,-0.39376
-1.61252,0.738273,0.450111,4,15,0,2.77707,-0.41899,-0.324553,0.203982,1.09422,-1.76861,-1.16011,-1.3977,-1.30326,0.0633457
-1.15843,0.990014,0.341733,3,13,0,1.97109,0.848989,0.505933,-0.048761,1.41023,0.560203,-1.69679,1.53991,1.19686,0.474061
-1.22411,0.935297,0.582745,2,7,0,2.71964,0.683498,-0.04301,0.340363,-1.0585,-1.86927,1.76487,0.639096,-0.0874121,1.97142
-0.437128,0.940147,0.866534,2,3,0,1.87683,-0.109776,0.576981,-0.588018,0.89484,-0.092449,3.02641,-0.955776,-0.26902,0.087701
-1.82002,0.675583,1.3324,2,3,0,2.09679,1.25204,-0.574578,0.277176,0.0319778,-0.707554,-1.0325,1.2229,-0.60372,1.73934
-1.03291,0.701196,0.896371,2,5,1,3.73703,-0.608886,1.11414,-0.844377,2.49846,-1.83077,2.44728,-1.8156,-0.0925699,-0.0842743
-1.03291,8.56648e-06,0.657942,1,1,0,4.52278,-0.608886,1.11414,-0.844377,-1.10337,-3.23899,2.18885,-1.8156,-0.0925699,-0.0842743
-0.867479,0.999374,0.0534261,6,95,0,1.52262,0.742862,-0.388666,-0.914766,-1.1162,1.33521,-0.253379,-1.58752,-2.71905,-0.711075
-0.453264,0.996196,0.102205,4,23,0,2.35695,0.218669,0.201609,-0.194097,-0.523285,2.04125,2.40184,-0.235299,-0.252359,0.538496
-1.08357,0.999161,0.193342,4,15,0,1.14679,-0.237675,0.353316,0.286715,0.525702,-0.262312,-0.0891473,-0.582905,0.00808681,1.56287
-1.69529,0.992148,0.36763,3,7,0,2.42669,-0.846824,0.344175,0.241103,2.04694,-0.0868317,0.576723,-1.60677,-0.415773,0.684265
-1.35411,0.591154,0.679873,2,7,0,2.35476,0.88547,0.461079,-0.665579,-1.56611,1.03771,1.5291,3.2262,2.80181,-1.18323
-0.518786,0.971584,0.366765,2,3,0,1.77158,0.552641,-0.170783,-0.443975,-1.5824,-1.68268,0.995194,-0.289007,-1.01243,0.120004
-0.619924,0.982428,0.633431,2,7,0,0.855049,0.473167,0.589325,-0.554785,0.925924,-0.533601,0.416746,1.48711,1.60326,-0.00925507
-1.79721,0.131055,1.12163,1,3,1,3.47092,-0.488459,-0.301452,0.40162,1.97818,1.04706,-2.31393,-1.16838,-0.981375,1.20057
-3.95456,0.991381,0.15555,4,15,0,4.24385,-0.633949,-1.04408,0.0412844,-1.05825,-0.241609,-0.804968,-2.84948,-3.25961,-4.24498
-4.27777,0.941711,0.283853,2,3,0,5.17239,-0.68275,-0.891353,-0.100177,-0.77119,-1.65456,-0.906591,-3.49578,-3.70438,-5.65799
-3.15328,1,0.443577,3,7,0,5.1219,-0.60627,-1.05276,0.511725,-1.25246,-0.808877,-3.29614,-1.46413,-1.91062,0.734875
-1.866,0.870344,0.815318,2,3,0,4.13299,-0.613581,-0.220999,0.0538235,-0.794653,-2.71414,1.5275,-2.01687,-1.62429,-1.07937
-2.04706,0.372721,1.02104,2,3,0,3.15384,0.0523095,0.632509,0.652924,-1.98249,-1.36447,-0.171581,0.0405567,0.620756,3.6903
-1.0618,0.998753,0.307401,3,7,0,2.49784,-0.492936,0.628952,-0.611109,0.395723,-0.0170906,-3.14366,-2.50322,-1.38133,-0.895872
-2.83655,0.723413,0.556545,2,3,0,3.36033,0.388114,1.32477,-0.640323,0.710166,-1.05273,1.07909,3.93197,4.86862,-3.21173
-1.75821,1,0.460379,3,7,0,4.26237,-0.833012,1.13825,0.167891,2.8571,1.66372,-1.84778,-1.13534,0.835921,1.27116
-0.468918,0.991908,0.825456,2,3,0,1.97641,-0.17861,0.804456,-0.783774,1.956,-0.775411,-2.26967,-0.669362,0.313704,0.158328
-0.468918,0.163674,1.43329,2,3,0,2.06611,-0.17861,0.804456,-0.783774,-2.66475,0.953676,-1.22796,-0.669362,0.313704,0.158328
-1.147,0.998076,0.25522,4,23,0,1.36392,1.03474,-0.453588,-0.00207419,0.943404,-0.520574,0.181116,0.887084,-0.601243,0.974148
-1.6376,0.737625,0.450911,3,15,1,3.80067,0.80723,-0.21809,0.47166,1.71957,-1.11188,-3.10321,0.753092,-0.272229,2.56097
-1.15591,0.994955,0.391302,3,7,0,2.36306,1.01749,0.260589,-0.519673,-1.8165,-0.787499,-1.90116,2.57223,1.81532,-0.501243
-0.363008,0.475628,0.67689,2,3,0,1.27456,0.602164,-0.0526654,-0.793692,1.79268,0.617228,1.43454,-0.271834,-0.926664,0.0482785
-2.02676,0.991292,0.293021,3,11,0,3.37434,1.45485,-0.809718,0.121812,-1.64705,0.812929,-2.27966,1.38975,-0.87482,1.27046
-1.27525,0.680646,0.498748,3,15,0,3.68223,0.0729685,0.956277,0.226526,2.86654,-1.1975,2.23496,0.264341,1.14765,1.51549
-0.768926,0.999121,0.374329,3,7,0,1.50215,0.351265,0.479866,0.0807095,-0.221038,1.31071,1.44549,0.438856,0.567457,1.16616
-0.294288,0.516337,0.643483,1,3,0,2.30548,0.190922,0.340883,-0.581574,-0.624608,-0.341915,-3.66646,-0.43753,-0.28757,0.189078
