"data$x_predict","X10.","X20.","X30.","X40.","X50.","X60.","X70.","X80.","X90."
3.48,-15.2291699726022,-14.4574296221697,-13.8929435796708,-13.4233159129485,-12.9811214616027,-12.5154349679173,-12.0468528033298,-11.4995189376844,-10.7884635711439
3.52,-15.3867944367752,-14.6180984435468,-14.0492653312947,-13.5744043731959,-13.1325496943835,-12.6647073310146,-12.1978205302814,-11.6431863078426,-10.9281330598243
3.56,-15.5391658836474,-14.7668405269027,-14.2019985449882,-13.7303870576972,-13.2834920870999,-12.8068419893025,-12.3496823993598,-11.7867616261106,-11.070986029373
3.6,-15.6933364400086,-14.9265598830604,-14.3530236674977,-13.8840475339625,-13.4310044031713,-12.9531268126267,-12.499503540285,-11.9290010616724,-11.2136655281575
3.64,-15.8512771437161,-15.0809565334449,-14.5012975238769,-14.0314863602377,-13.5796468637087,-13.1025004896335,-12.644294941448,-12.0716190945213,-11.3543981694138
3.68,-16.0034172931085,-15.2290093481318,-14.6573657801921,-14.1828777092614,-13.7297811638495,-13.2550513443873,-12.7909999782862,-12.2125568320164,-11.4896097308851
3.72,-16.1576947982898,-15.3811013161067,-14.8091272616113,-14.324106129067,-13.8797765214872,-13.3999316579032,-12.9346892400253,-12.3576288046924,-11.6265895857872
3.76,-16.308986124829,-15.5275172286342,-14.9650127590928,-14.4663615041773,-14.0251665200851,-13.5450825419142,-13.0748676583652,-12.4949053125279,-11.7667380438053
3.8,-16.4666534404011,-15.6809216881172,-15.1139902699069,-14.615489558127,-14.1745469707036,-13.6903440660326,-13.2143220308373,-12.6352485537371,-11.9105378988365
3.84,-16.6242357398668,-15.8338689303644,-15.26032838365,-14.7628261353103,-14.3249074866576,-13.8347927813284,-13.3516507483217,-12.7816262258217,-12.0493699503003
3.88,-16.7773622809704,-15.9834724861331,-15.4069394171822,-14.9079704803227,-14.4697765489409,-13.9780241284082,-13.4911542816285,-12.9262103754522,-12.1913764340318
3.92,-16.9334783061908,-16.1335947570917,-15.5541332320037,-15.0575198613866,-14.6109233614344,-14.1187126617146,-13.6293843161954,-13.0640559623747,-12.3284127273526
3.96,-17.0906216864202,-16.2837857679615,-15.7021560090432,-15.2039690680511,-14.753241165719,-14.2597585285626,-13.7673810087644,-13.2034144194339,-12.4612776881122
4,-17.2390360885024,-16.4292097589169,-15.8479397631806,-15.3507871208375,-14.8970571683828,-14.4001636104945,-13.9063338621835,-13.3433798007065,-12.5909253616358
4.04,-17.3845966101323,-16.5746779329033,-15.9971368340556,-15.4924297137311,-15.0375514541646,-14.5370338609526,-14.0421868706928,-13.482196212689,-12.7259226326391
4.08,-17.5327772044707,-16.7208386649197,-16.1358094590896,-15.6323931570396,-15.1753155886553,-14.6721822731248,-14.1784262144405,-13.6209290267381,-12.8563887075305
4.12,-17.6764713034842,-16.8632376858897,-16.2777253683831,-15.7698373563555,-15.3137728918387,-14.807915899252,-14.3098059830192,-13.7532321847799,-12.9966487510769
4.16,-17.8234767668077,-17.0063178098652,-16.4211596216503,-15.9078837385695,-15.4518378935223,-14.9479750903676,-14.445219050623,-13.8849864103243,-13.1266773342072
4.2,-17.9653601460017,-17.1498153356142,-16.561748619238,-16.0453717149375,-15.5924895937276,-15.0839791986268,-14.5837793320624,-14.0152836582827,-13.2537823491572
4.24,-18.1044042630977,-17.2890569221879,-16.7001160804826,-16.1799759098771,-15.7348193418694,-15.2199698522794,-14.7179422573113,-14.1505030632584,-13.3811257465183
4.28,-18.2433151841916,-17.4299172924018,-16.8375773386959,-16.3146056625921,-15.8714051965394,-15.3525383621799,-14.855354127186,-14.2878651746419,-13.5083142333805
4.32,-18.3835639910936,-17.5718430599558,-16.9766928955126,-16.45067989762,-16.0056225641747,-15.4875249504581,-14.9874926398845,-14.4202705790663,-13.6356791797418
4.36,-18.524015336082,-17.7076221599151,-17.1109933290014,-16.5849501209837,-16.1376435184604,-15.6143391148917,-15.1216990902273,-14.5514161509149,-13.7643910468938
4.4,-18.6598575390465,-17.844163435276,-17.2474533885019,-16.7250309146768,-16.2712011341181,-15.7402032331607,-15.2556433116461,-14.6815426446146,-13.8877269397296
4.44,-18.7989820762187,-17.9813284373429,-17.3800131076692,-16.858511017508,-16.4017847605794,-15.8658312163621,-15.3829534835506,-14.8175331213605,-14.0173007396834
4.48,-18.9310657005477,-18.115125570896,-17.5150153267669,-17.0003560123227,-16.531867356864,-15.9922175061319,-15.5089561889994,-14.945651563867,-14.1377747597819
4.52,-19.0603628697843,-18.251640008578,-17.6489466494779,-17.1326234179168,-16.6607039322693,-16.1279465636988,-15.6322709964361,-15.074780224862,-14.2630994797709
4.56,-19.193725686896,-18.3873490318121,-17.7819336679024,-17.261066185254,-16.7877772767466,-16.253864324254,-15.7594029972102,-15.200922008055,-14.3861708686762
4.6,-19.3336487934522,-18.5196888894485,-17.9125518450798,-17.3846112705301,-16.9163087458949,-16.3864632571508,-15.8823978292993,-15.3195240895938,-14.5078731453993
4.64,-19.4634560661849,-18.6537062028841,-18.0418366993182,-17.5082868351296,-17.0470384192173,-16.515461819301,-16.0050050358616,-15.4440779668796,-14.6339847476386
4.68,-19.5939114504892,-18.7776987164273,-18.1722385950589,-17.6371842378791,-17.172225439104,-16.6451701994359,-16.1319990937207,-15.5686963643745,-14.7491401305833
4.72,-19.7192549474028,-18.9049995522804,-18.2938695514993,-17.7592037480844,-17.2995515022759,-16.7705626394664,-16.2536354030248,-15.6991668697687,-14.8708714246111
4.76,-19.8463797269803,-19.0333191807413,-18.4211779511771,-17.8824968179411,-17.4282907626762,-16.8869062132858,-16.3738196410341,-15.8199050194526,-14.990637161308
4.8,-19.9696048821964,-19.157297440204,-18.5516427768645,-18.0085191993637,-17.5490926540668,-17.0116402960871,-16.494022029666,-15.9398178124042,-15.1135698889163
4.84,-20.1027301572058,-19.2824261395953,-18.6754605969115,-18.131781452702,-17.6683391850525,-17.1349874997668,-16.6151985364237,-16.0629029821254,-15.2321852617751
4.88,-20.2334116462928,-19.4049764312724,-18.7959383730989,-18.2538844799202,-17.7898405652922,-17.257577069044,-16.7383321729442,-16.1823652009565,-15.3543701374349
4.92,-20.3626574579055,-19.5270545117087,-18.9162010772232,-18.3744007543593,-17.9126378683434,-17.3786923293371,-16.8517054374261,-16.2997450282437,-15.4758547110598
4.96,-20.4884976894301,-19.648221937511,-19.0433335124184,-18.4913612274975,-18.0317050006105,-17.4942691735919,-16.9665102433465,-16.4144145643267,-15.5951981391221
5,-20.6213038346315,-19.7638265947159,-19.1678615564472,-18.6130347125876,-18.1524258256494,-17.606654883614,-17.0844290384008,-16.5322514619763,-15.7096031939442
5.04,-20.7440386193344,-19.881518281496,-19.2853039403075,-18.7348844096003,-18.2640797404399,-17.7242538268218,-17.2018823313145,-16.6476829913296,-15.8172706540331
