xs,wide_likelihoods,normal_mixture_prior,normal_mixture_posterior,laplace_prior,laplace_posterior,cauchy_prior,cauchy_posterior
23.05,0.0230516575726116,0.000700069818403215,0.0103314378253335,4.88070092817969e-11,7.68002300857126e-08,0.000597986833020305,0.0141852486725563
23.075,0.0230413746654166,0.000696045092037262,0.010267459857525,4.76019599289953e-11,7.48706123836036e-08,0.000596694216475439,0.014148271552182
23.1,0.0230310803514201,0.000692039178708414,0.010203807216602,4.64266633507246e-11,7.29894259386634e-08,0.00059540578399916,0.0141114139636777
23.125,0.0230207746500128,0.000688052020072612,0.0101404787670367,4.52803849483643e-11,7.11554564551844e-08,0.000594121517564309,0.0140746754042372
23.15,0.0230104575806006,0.000684083557771123,0.0100774733736116,4.41624082605982e-11,6.93675200509269e-08,0.000592841399240655,0.0140380553737275
23.175,0.0230001291626041,0.000680133733432089,0.0100147899014497,4.30720345156034e-11,6.76244624961838e-08,0.000591565411194262,0.0140015533746713
23.2,0.0229897894154591,0.000676202488672044,0.00995242721604289,4.20085821942943e-11,6.59251584718593e-08,0.000590293535686875,0.0139651689122304
23.225,0.0229794383586162,0.000672289765097451,0.00989038418328198,4.09713866043523e-11,6.42685108460962e-08,0.000589025755075303,0.0139289014941882
23.25,0.0229690760115407,0.000668395504306206,0.00982865966948502,3.99597994647697e-11,6.26534499689788e-08,0.000587762051810808,0.0138927506309338
23.275,0.0229587023937127,0.000664519647889144,0.00976725254142624,3.89731885006542e-11,6.10789329848683e-08,0.000586502408438501,0.0138567158354445
23.3,0.022948317524627,0.000660662137431543,0.00970616166636457,3.80109370480368e-11,5.95439431619262e-08,0.00058524680759674,0.0138207966232699
23.325,0.0229379214237932,0.000656822914514603,0.00964538591207197,3.70724436684351e-11,5.80474892383958e-08,0.000583995232016532,0.0137849925125155
23.35,0.022927514110735,0.000653001920716935,0.0095849241468616,3.61571217729368e-11,5.65886047852277e-08,0.000582747664520943,0.0137493030238261
23.375,0.0229170956049912,0.000649199097616022,0.00952477523961569,3.52643992555608e-11,5.51663475846354e-08,0.000581504088024508,0.0137137276803699
23.4,0.0229066659261144,0.000645414386789691,0.00946493805981338,3.43937181356729e-11,5.37797990241882e-08,0.00058026448553265,0.0136782660078227
23.425,0.0228962250936722,0.000641647729817566,0.00940541147755827,3.35445342092305e-11,5.24280635060516e-08,0.000579028840141098,0.0136429175343515
23.45,0.0228857731272461,0.000637899068282508,0.00934619436360569,3.27163167086359e-11,5.11102678709945e-08,0.000577797135035311,0.0136076817905992
23.475,0.0228753100464319,0.000634168343772057,0.00928728558939001,3.19085479709908e-11,4.98255608367997e-08,0.000576569353489915,0.0135725583096687
23.5,0.0228648358708398,0.00063045549787986,0.00922868402705149,3.11207231145389e-11,4.85731124507116e-08,0.000575345478868126,0.0135375466271074
23.525,0.0228543506200941,0.000626760472207089,0.00917038854946314,3.0352349723099e-11,4.7352113555577e-08,0.000574125494621196,0.0135026462808917
23.55,0.0228438543138329,0.000623083208363858,0.0091123980302573,2.96029475382889e-11,4.61617752693319e-08,0.000572909384287851,0.0134678568114119
23.575,0.0228333469717086,0.000619423647970619,0.00905471134385196,2.88720481593478e-11,4.50013284775031e-08,0.000571697131493738,0.0134331777614569
23.6,0.0228228286133875,0.000615781732659562,0.00899732736547707,2.81591947503714e-11,4.38700233384006e-08,0.000570488719950876,0.013398608676199
23.625,0.0228122992585497,0.000612157404075999,0.00894024497120047,2.74639417547734e-11,4.27671288006808e-08,0.000569284133457108,0.0133641491031789
23.65,0.0228017589268893,0.000608550603879738,0.00888346303795368,2.67858546167993e-11,4.16919321329745e-08,0.000568083355895561,0.0133297985922913
23.675,0.0227912076381139,0.000604961273746461,0.00882698044355762,2.61245095099142e-11,4.06437384652773e-08,0.000566886371234109,0.0132955566957693
23.7,0.0227806454119451,0.000601389355369074,0.00877079606674793,2.54794930718977e-11,3.96218703418065e-08,0.000565693163524837,0.0132614229681707
23.725,0.0227700722681179,0.000597834790459065,0.00871490878720023,2.48504021464791e-11,3.86256672850432e-08,0.000564503716903512,0.0132273969663625
23.75,0.0227594882263811,0.000594297520747845,0.00865931748555521,2.42368435313513e-11,3.76544853706731e-08,0.000563318015589055,0.0131934782495074
23.775,0.0227488933064969,0.000590777487988083,0.00860402104344339,2.36384337324066e-11,3.67076968131608e-08,0.000562136043883026,0.0131596663790488
23.8,0.022738287528241,0.000587274633955034,0.00854901834350985,2.30547987240411e-11,3.57846895616869e-08,0.000560957786169094,0.0131259609186966
23.825,0.0227276709114025,0.000583788900447851,0.00849430826943862,2.24855737153754e-11,3.48848669061913e-08,0.000559783226912533,0.0130923614344136
23.85,0.0227170434757838,0.000580320229290903,0.00843988970597703,2.19304029222494e-11,3.40076470932702e-08,0.000558612350659707,0.0130588674944009
23.875,0.0227064052412006,0.000576868562335065,0.00838576153895969,2.1388939344845e-11,3.31524629516789e-08,0.000557445142037559,0.0130254786690844
23.9,0.022695756227482,0.000573433841459017,0.00833192265533246,2.08608445508001e-11,3.23187615272029e-08,0.000556281585753116,0.0129921945311007
23.925,0.02268509645447,0.000570016008570527,0.00827837194317606,2.03457884636776e-11,3.15060037266619e-08,0.000555121666592982,0.0129590146552833
23.95,0.0226744259420197,0.000566615005607722,0.00822510829172964,1.98434491566564e-11,3.0713663970817e-08,0.000553965369422846,0.0129259386186495
23.975,0.0226637447099995,0.000563230774540357,0.00817213059141411,1.93535126513173e-11,2.99412298559628e-08,0.000552812679186985,0.0128929660003862
24,0.0226530527782905,0.000559863257371072,0.00811943773385512,1.88756727213955e-11,2.91882018239821e-08,0.000551663580907783,0.0128600963818371
24.025,0.0226423501667868,0.000556512396136642,0.00806702861190615,1.84096307013798e-11,2.84540928406559e-08,0.000550518059685236,0.0128273293464889
24.05,0.0226316368953955,0.000553178132909216,0.00801490211967116,1.79550952998368e-11,2.77384280820217e-08,0.000549376100696477,0.0127946644799583
24.075,0.0226209129840363,0.000549860409797551,0.00796305715252717,1.75117824173442e-11,2.70407446285754e-08,0.000548237689195296,0.0127621013699788
