xs,normal_prior,normal_mixture_prior,laplace_prior,cauchy_prior,horseshoe_prior
-6.22499999999999,1.53574376898326e-09,0.00821682849567165,0.000989661907676604,0.00800766997207695,0.00641183556778746
-6.19999999999999,1.79378390796421e-09,0.00822960036460706,0.00101471531814788,0.00807073747930507,0.00634129643302209
-6.175,2.09387162350374e-09,0.00824234060171845,0.00104040295872477,0.00813454643731836,0.00628976242026875
-6.14999999999999,2.44263482680717e-09,0.00825504900358671,0.00106674088501886,0.00819910840836606,0.00629270385328266
-6.125,2.84770897829682e-09,0.00826772536782443,0.00109374555909144,0.00826443517880836,0.00634967616650699
-6.09999999999999,3.31788424354741e-09,0.00828036949319201,0.00112143385974291,0.00833053876429708,0.00642874083169992
-6.07499999999999,3.86327320124305e-09,0.00829298117972901,0.00114982309306248,0.00839743141509451,0.00649574344067736
-6.05,4.49550183101332e-09,0.00830556022890305,0.00117893100324512,0.00846512562153556,0.00654405519506695
-6.02499999999999,5.22792685023023e-09,0.00831810644377843,0.00120877578368226,0.00853363411963718,0.00659391143881584
-6,6.07588284982329e-09,0.00833061962920713,0.00123937608833318,0.00860296989685921,0.00666253430070955
-5.97499999999999,7.05696310414622e-09,0.00834309959204503,0.00127075104338444,0.00867314619802228,0.00674306686569563
-5.94999999999999,8.19133840347976e-09,0.00835554614139666,0.00130292025920426,0.00874417653138636,0.00681541193384185
-5.925,9.50211878502615e-09,0.00836795908889213,0.00133590384259973,0.00881607467489597,0.00686898695427042
-5.89999999999999,1.10157636246829e-08,0.00838033824900038,0.0013697224093842,0.0088888546825968,0.00691230434072317
-5.875,1.27625462035364e-08,0.00839268343938309,0.00140439709726276,0.0089625308912286,0.00696713118004914
-5.84999999999999,1.47770795864805e-08,0.00840499448129487,0.00143994957904413,0.00903711792700096,0.00705140771548441
-5.82499999999999,1.70989114526363e-08,0.00841727120003491,0.00147640207618674,0.00911263071255644,0.00715981594646642
-5.8,1.9773196406245e-08,0.00842951342545682,0.00151377737268791,0.00918908447412792,0.00726599130940869
-5.77499999999999,2.28514552806163e-08,0.00844172099254379,0.00155209882932467,0.00926649474889588,0.00735308340555132
-5.75,2.63924320357057e-08,0.00845389374205681,0.00159139039825483,0.00934487739255165,0.00743363184267829
-5.72499999999999,3.04630600518272e-08,0.00846603152126505,0.00163167663798808,0.009424248587074,0.00752593448621232
-5.69999999999999,3.51395509482067e-08,0.00847813418476802,0.00167298272873566,0.00950462484872475,0.00761890415463195
-5.675,4.05086205173033e-08,0.00849020159542067,0.00171533448814887,0.00958602303627144,0.00767787200858987
-5.64999999999999,4.66688679759449e-08,0.00850223362537343,0.00175875838745608,0.0096684603594439,0.00768503923658632
-5.625,5.37323265056915e-08,0.00851423015724065,0.00180328156800787,0.00975195438763169,0.00766182130514787
-5.59999999999999,6.18262050016604e-08,0.00852619108541257,0.00184893185824148,0.00983652305883162,0.00764800283281964
-5.57499999999999,7.1094843085934e-08,0.00853811631752712,0.00189573779107433,0.00992218468885167,0.00766639449104253
-5.55,8.17019037854334e-08,0.00855000577612002,0.00194372862173807,0.0100089579807811,0.00771300930030433
-5.52499999999999,9.38328308412412e-08,0.00856185940047336,0.00199293434606416,0.010096862034735,0.00777592707538663
-5.5,1.07697600425433e-07,0.00857367714868492,0.00204338571923203,0.0101859163578813,0.00785010525895022
-5.47499999999999,1.23533800112157e-07,0.00858545899998298,0.0020951142749923,0.0102761408747617,0.00792794066346581
-5.44999999999999,1.41610071301621e-07,0.00859720495731371,0.00214815234537619,0.0103675559379136,0.00798941855460642
-5.425,1.6222995495189e-07,0.00860891505023099,0.00220253308090421,0.0104601823388048,0.00802042896154079
-5.39999999999999,1.85736184455538e-07,0.00862058933812168,0.00225829047130635,0.0105540413190912,0.00804030597081523
-5.375,2.12515473831029e-07,0.0086322279138022,0.00231545936676662,0.0106491545822073,0.00809528567589445
-5.34999999999999,2.4300385410806e-07,0.00864383090752647,0.00237407549970575,0.0107455443053014,0.00821427824281407
-5.32499999999999,2.7769261589662e-07,0.00865539849144827,0.00243417550711491,0.0108432331515269,0.00837447270890895
-5.3,3.17134921671602e-07,0.00866693088458604,0.00249579695345511,0.0109422442827017,0.00852045743469459
-5.27499999999999,3.61953157304574e-07,0.00867842835834203,0.00255897835413635,0.0110426013723481,0.00861902144010598
-5.25,4.12847098863e-07,0.00868989124263285,0.00262375919959069,0.0111443286191261,0.00868509210610647
-5.22499999999999,4.70602977706688e-07,0.00870131993269389,0.00269017997995542,0.0112474507606737,0.00875120650766764
-5.19999999999999,5.36103534469794e-07,0.00871271489662522,0.00275828221038042,0.011351993087867,0.008826039192073
-5.175,6.10339160662295e-07,0.0087240766837533,0.00282810845697656,0.0114579814595169,0.00889091416049743
-5.14999999999999,6.94420235385566e-07,0.00873540593388903,0.0028997023634211,0.0115654423175145,0.00892637071423702
-5.125,7.89590774069399e-07,0.0087467033875697,0.00297310867823605,0.0116744027024428,0.00893502253700245
-5.09999999999999,8.97243516238359e-07,0.00875796989738033,0.00304837328275784,0.0117848902696702,0.00894489040178802
-5.07499999999999,1.01893659013194e-06,0.00876920644045756,0.00312554321981432,0.0118969333059419,0.00898755659339688
-5.05,1.1564119035798e-06,0.00878041413228826,0.0032046667231282,0.0120105607464877,0.0090752780060473
