likelihood_peaks,unif_posterior_means,unif_posterior_sds,normal_means,normal_sds,normal_mixture_means,normal_mixture_sds,laplace_means,laplace_sds,cauchy_means,cauchy_sds
1.09018036072144,1.09018036072144,1,0.545090180360721,0.707106781186547,0.576644717694847,0.738111178380233,0.554306617856875,0.757748973090299,0.610200596165745,0.79335351829988
1.1062124248497,1.1062124248497,1,0.55310621242485,0.707106781186547,0.585385745263402,0.738673626859823,0.56353451710248,0.75960673865085,0.620316215581924,0.795312029291203
1.12224448897796,1.12224448897796,1,0.561122244488978,0.707106781186548,0.594140266218861,0.739250632943112,0.572807870974839,0.761481380895881,0.630482078066566,0.797293922907176
1.13827655310621,1.13827655310621,1,0.569138276553106,0.707106781186548,0.602908639971671,0.739842518732169,0.582127198438647,0.763372467020772,0.640698902970744,0.799298914810308
1.15430861723447,1.15430861723447,1,0.577154308617234,0.707106781186548,0.611691234497397,0.740449614230568,0.591493010808099,0.765279559250238,0.650967406705578,0.801326712848994
1.17034068136273,1.17034068136273,1,0.585170340681363,0.707106781186548,0.620488426572415,0.741072257469107,0.600905811545645,0.767202214930201,0.661288302516362,0.80337701694936
1.18637274549098,1.18637274549098,1,0.593186372745491,0.707106781186548,0.62930060201499,0.741710794631006,0.610366096059298,0.76913998662379,0.671662300249237,0.80544951901007
1.20240480961924,1.20240480961924,1,0.601202404809619,0.707106781186548,0.638128155931825,0.742365580176367,0.61987435149866,0.771092422211552,0.682090106110381,0.807543902800358
1.21843687374749,1.21843687374749,1,0.609218436873747,0.707106781186548,0.646971492970184,0.7430369769656,0.629431056549845,0.773059064995992,0.692572422417709,0.809659843861546
1.23446893787575,1.23446893787575,1,0.617234468937876,0.707106781186548,0.655831027575669,0.743725356381571,0.639036681229458,0.775039453810515,0.703109947345083,0.811797009412311
1.25050100200401,1.25050100200401,1,0.625250501002004,0.707106781186548,0.664707184255749,0.744431098450153,0.648691686677841,0.777033123132875,0.713703374659041,0.813955058257995
1.26653306613226,1.26653306613226,1,0.633266533066132,0.707106781186548,0.673600397849136,0.745154591958872,0.658396524951763,0.779039603203196,0.724353393448068,0.816133640704217
1.28256513026052,1.28256513026052,1,0.64128256513026,0.707106781186548,0.682511113801073,0.745896234573324,0.668151638816763,0.781058420146669,0.735060687844429,0.818332398475093
1.29859719438878,1.29859719438878,1,0.649298597194389,0.707106781186548,0.691439788444638,0.746656432950992,0.677957461539344,0.783089096100973,0.745825936738634,0.820550964636343
1.31462925851703,1.31462925851703,1,0.657314629258517,0.707106781186548,0.700386889288118,0.747435602852101,0.687814416679256,0.785131149348507,0.756649813486563,0.82278896352358
1.33066132264529,1.33066132264529,1,0.665330661322645,0.707106781186548,0.709352895308551,0.748234169247115,0.697722917882064,0.787184094453494,0.767532985609332,0.825046010676096
1.34669338677355,1.34669338677355,1,0.673346693386773,0.707106781186548,0.718338297251483,0.749052566420441,0.707683368672247,0.789247442404001,0.778476114485994,0.82732171277643
1.3627254509018,1.3627254509018,1,0.681362725450902,0.707106781186548,0.727343597937013,0.749891238069923,0.717696162247064,0.791320700758939,0.789479855039146,0.829615667596033
1.37875751503006,1.37875751503006,1,0.68937875751503,0.707106781186548,0.736369312572187,0.750750637401631,0.727761681271417,0.793403373800083,0.800544855413577,0.83192746394735
1.39478957915832,1.39478957915832,1,0.697394789579158,0.707106781186548,0.745415969069777,0.751631227219477,0.737880297673981,0.795494962689138,0.811671756648065,0.834256681642617
1.41082164328657,1.41082164328657,1,0.705410821643286,0.707106781186548,0.754484108373512,0.752533480009123,0.748052372444835,0.797594965629889,0.822861192340479,0.836602891459692
1.42685370741483,1.42685370741483,1,0.713426853707415,0.707106781186548,0.763574284789771,0.753457878015649,0.758278255434864,0.799702878035446,0.83411378830633,0.838965655115247
1.44288577154309,1.44288577154309,1,0.721442885771543,0.707106781186548,0.772687066325787,0.754404913314395,0.768558285157204,0.801818192700609,0.845430162230947,0.841344525245624
1.45891783567134,1.45891783567134,1,0.729458917835671,0.707106781186548,0.781823035034365,0.755375087874395,0.778892788590987,0.803940399979324,0.856810923315473,0.84373904539568
1.4749498997996,1.4749498997996,1,0.7374749498998,0.707106781186548,0.790982787365137,0.756368913613748,0.789282080987678,0.806068987967263,0.868256671916887,0.846148750015945
1.49098196392786,1.49098196392786,1,0.745490981963928,0.707106781186548,0.800166934522338,0.757386912446295,0.799726465680265,0.808203442689474,0.879767999182262,0.848573164468395
1.50701402805611,1.50701402805611,1,0.753507014028056,0.707106781186548,0.809376102829094,0.758429616318888,0.810226233895609,0.810343248293092,0.891345486677526,0.851011805041162
1.52304609218437,1.52304609218437,1,0.761523046092184,0.707106781186548,0.818610934098203,0.759497567238548,0.820781664570222,0.812487887245075,0.902989706010964,0.853464178972505
1.53907815631263,1.53907815631263,1,0.769539078156313,0.707106781186548,0.827872086009351,0.760591317288738,0.831393024169775,0.814636840534896,0.914701218451748,0.855929784484324
