xs,normal_cdf,cauchy_cdf,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,cauchy_prior,cauchy_post_containment,cauchy_post_contraction,cauchy_post_compromise
4.975,0.993567777321196,0.990647462052183,0.0668552129597775,3.45485125794107e-146,3.36392971408214e-97,0.00904164783312069,0.00874082396170112,2.08175553141915e-147,6.34370305107431e-93,0.0018788253703337,0.00174184826506843,2.89255777559898e-147,1.42444454961888e-96
5,0.993790334674224,0.990694198034611,0.0666557810607893,2.57890398855914e-147,2.76081176805089e-96,0.00876415024678427,0.00844728497510226,1.5062524747229e-148,5.04655436980958e-92,0.00186010010064227,0.00171934395411919,2.1376557238277e-148,1.15740494223519e-95
5.025,0.994006044745126,0.990740469377765,0.0664552826726703,1.90589095285764e-148,2.24328130511696e-95,0.00849384208379272,0.00816212425135266,1.07883497195675e-149,3.97407687889083e-91,0.00184165330153107,0.00169717260654968,1.56412766060096e-149,9.31116090623716e-95
5.05,0.994215085535176,0.990786282974464,0.0662537310131015,1.39449826516294e-149,1.80462816781937e-94,0.00823058476662362,0.00788516057652994,7.64894354957375e-151,3.09789553541045e-90,0.00182347948012148,0.00167532800569306,1.1331440709346e-150,7.41653125208491e-94
5.075,0.994417631593983,0.990831645581898,0.0660511393387159,1.01017115513066e-150,1.43730448838825e-93,0.00797424074872834,0.00761621448884087,5.36830388319834e-152,2.39048746027954e-89,0.0018055732782678,0.00165380408316544,8.12786261185675e-152,5.84892589971661e-93
5.1,0.994613854045933,0.990876563824944,0.065847520943657,7.24484341722695e-152,1.13335740605765e-92,0.00772467356719757,0.0073551083470429,3.72959715392758e-153,1.8259772723865e-88,0.00178792946861187,0.00163259491457028,5.77225698409497e-153,4.56698397964837e-92
5.125,0.994803920617909,0.990921044199393,0.0656428891581363,5.14422669628548e-153,8.84793752084228e-92,0.00748174789295697,0.00710166639491621,2.56493258131431e-154,1.38068136135847e-87,0.00177054295077184,0.0016116947153477,4.0587550065771e-154,3.53069930900729e-91
5.15,0.994987995668239,0.990965093075072,0.0654372573469913,3.61633162579462e-154,6.8387111832124e-91,0.0072453295785242,0.00685571482185304,1.74614047967204e-155,1.03342925862361e-86,0.00175340874765988,0.00159109783676308,2.8256455978145e-155,2.70252456602306e-90
5.175,0.995166240216809,0.991008716698888,0.0652306389082439,2.51694343317259e-155,5.23315421872655e-90,0.00701528570335944,0.00661708181963218,1.17671584989051e-156,7.65697520904353e-86,0.00173652200192375,0.00157079876202959,1.94769081991064e-156,2.04812303666202e-89
5.2,0.995338811976281,0.991051921197773,0.0650230472716583,1.73434589228655e-156,3.96469569514726e-89,0.00679148461684278,0.00638559763544915,7.84970295668164e-158,5.61594602894381e-85,0.00171987797250767,0.00155079210255963,1.32922843207968e-157,1.53680835268774e-88
5.225,0.995505865384348,0.991094712581552,0.0648144958973001,1.18319147574411e-157,2.97381015587256e-88,0.00657379597891478,0.00616109462127587,5.18351117241562e-159,4.07734825025907e-84,0.00170347203132784,0.00153107259434034,8.98165380892345e-159,1.14172225470657e-87
5.25,0.995667551636987,0.991137096745726,0.0646049982740959,7.99155703667312e-159,2.2083793448639e-87,0.00636209079841572,0.00594340727962396,3.38831713287413e-160,2.93036611884002e-83,0.00168729966005822,0.00151163509442831,6.00882968289268e-160,8.39804339238766e-87
5.275,0.995824018722635,0.991179079474178,0.0643945679183944,5.34398007080744e-160,1.62364533060427e-86,0.00615624146916257,0.00573237230578918,2.19246798947763e-161,2.08475564651006e-82,0.00167135644702254,0.00149247457755932,3.98015680987752e-161,6.11607028480721e-86
5.3,0.995975411457242,0.991220666441801,0.0641832183725281,3.53797949458591e-161,1.18185912986372e-85,0.00595612180380259,0.00552782862665556,1.40433806427746e-162,1.46817434163159e-81,0.00165563808418843,0.00147358613286854,2.61027937125226e-162,4.41004824973783e-85
5.325,0.99612187152014,0.991261863217051,0.0639709632033766,2.31901121164284e-162,8.51720923332442e-85,0.00576160706548346,0.00532961743613871,8.90428947513621e-164,1.02350341886119e-80,0.00164014036425994,0.00145496496071723,1.69492363996356e-163,3.14840469854031e-84
5.35,0.996263537490682,0.991302675264433,0.0637578160009316,1.50489930042326e-163,6.07695433918534e-84,0.00557257399738239,0.00513758222735083,5.5887678480235e-165,7.06301554602902e-80,0.00162485917786474,0.00143660636962207,1.08965606391595e-164,2.22542990517394e-83
5.375,0.99640054488559,0.991343107946913,0.0635437903768639,9.6687223144782e-165,4.29271133627306e-83,0.00538890085013545,0.00495156882156897,3.47233858275409e-166,4.82481008542218e-79,0.00160979051083246,0.00141850577328315,6.93593033551818e-166,1.55744696627315e-82
5.4,0.996533026196959,0.991383166528265,0.0633288999630923,6.150179478734e-166,3.00216427458253e-82,0.00521046740721128,0.00477142539409092,2.13558695252286e-167,3.26256731533281e-78,0.00159493044156091,0.00140065868770721,4.37115099699303e-167,1.07916640890299e-81
5.425,0.996661110930879,0.991422856175352,0.0631131584103546,3.87314313860925e-167,2.07871176986899e-81,0.00503715500827288,0.00459700249706323,1.30017451284218e-168,2.1838757986029e-77,0.00158027513846687,0.00138306072842246,2.72748598042881e-168,7.40353615364369e-81
5.45,0.996784925646606,0.991462181960349,0.0628965793867812,2.41488447836437e-168,1.42498782160085e-80,0.00486884657057198,0.004428153079366,7.8356537113935e-170,1.4470568274839e-76,0.0015658208575184,0.00136570760778192,1.68501862567679e-169,5.02881252449459e-80
5.475,0.996904593996255,0.991501148862899,0.0626791765764716,1.49068618964456e-169,9.67130513167346e-80,0.00470542660842212,0.00426473250364117,4.67453071127934e-171,9.49144716335419e-76,0.0015515639398457,0.00134859513235179,1.03067603351226e-170,3.38194843756764e-79
5.5,0.997020236764945,0.991539761772212,0.0624609636780734,9.11030991494664e-171,6.49854414709443e-79,0.00454678125079553,0.00410659856054978,2.76051427276094e-172,6.16266384541014e-75,0.0015375008094276,0.00133171920038201,6.24187081543861e-172,2.251871712663e-78
5.525,0.997131971911371,0.991578025489114,0.0622419544033646,5.51235437334838e-172,4.32318794981959e-78,0.00439279825709101,0.00395361148034523,1.61373111584214e-173,3.96089855958267e-74,0.00152362797085115,0.00131507579935598,3.74267691211747e-173,1.4845515147884e-77
5.55,0.997239914608738,0.991615944728024,0.0620221624758391,3.30216038331319e-173,2.84740481569576e-77,0.00424336703111935,0.00380563394184908,9.33816505542212e-175,2.52004419865372e-73,0.00150994200714145,0.00129866100361664,2.22190098866755e-174,9.6899536903186e-77
5.575,0.997344177286032,0.991653524118902,0.0618016016292957,1.95846696969636e-174,1.85674117655116e-76,0.00409837863335328,0.00366253107891598,5.34910490833868e-176,1.58712741102897e-72,0.0014964395776594,0.00128247097206618,1.30599558613343e-175,6.26214000970626e-76
