xs,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,unif_prior,unif_post_containment,unif_post_contraction,unif_post_compromise
-4.15,0.0374531860256007,6.37244453080423e-25,0,0.0231699704993546,0.0125482672086102,9.83975601911642e-26,0,0.0972762645914397,0.0569003657304181,6.37244453080423e-25,0
-4.125,0.0376837618104783,1.83015023620832e-24,0,0.0237769456303198,0.0129562650657446,2.89998393684296e-25,0,0.0972762645914397,0.0572506656082214,1.83015023620832e-24,0
-4.1,0.0379148092238236,5.20384647969576e-24,0,0.0243960092895914,0.0133751042215621,8.46050041821007e-25,0,0.0972762645914397,0.0576016820026992,5.20384647969576e-24,0
-4.075,0.0381463195696533,1.4649380674222e-23,0,0.0250272802571626,0.0138049808750621,2.4433501379853e-24,0,0.0972762645914397,0.0579534017025689,1.4649380674222e-23,0
-4.05,0.0383782840639513,4.08292223772261e-23,0,0.0256708746003847,0.0142460914519474,6.98497022478612e-24,0,0.0972762645914397,0.0583058113628046,4.08292223772261e-23,0
-4.025,0.0386106938350123,1.12662661771055e-22,0,0.0263269055303111,0.0146986324672445,1.97666288654802e-23,0,0.0972762645914397,0.0586588975051599,1.12662661771055e-22,0
-4,0.0388435399237983,3.07783945068257e-22,0,0.026995483256594,0.0151628003834399,5.53719545472416e-23,0,0.0972762645914397,0.0590126465187088,3.07783945068257e-22,0
-3.975,0.0390768132843083,8.32470728081201e-22,0,0.0276767148410382,0.0156387914641451,1.53545218232123e-22,0,0.0972762645914397,0.0593670446604079,8.32470728081201e-22,0
-3.95,0.0393105047839612,2.22920000908836e-21,0,0.028370704049912,0.0161268016233101,4.21475112222595e-22,0,0.0972762645914397,0.0597220780556778,2.22920000908836e-21,0
-3.925,0.0395446052039922,5.90998197081685e-21,0,0.0290775512051289,0.0166270262700122,1.14524069167086e-21,0,0.0972762645914397,0.060077732699005,5.90998197081685e-21,0
